filename,width,height,class,xmin,ymin,xmax,ymax
resized_IMG_20231203_193156_Burst17_flipped_lr.jpg,640,640,Daging_Sapi_Tidak_Segar,163,14,612,548
resized_IMG_20231203_193156_Burst09_noised.jpg,640,640,Daging_Sapi_Tidak_Segar,34,22,478,535
resized_IMG_20231203_064725_Burst05_noised.jpg,640,640,Daging_Sapi_Segar,42,122,488,496
resized_IMG_20231203_064725_Burst02_flipped_lr_.jpg,640,640,Daging_Sapi_Segar,142,119,592,512
resized_IMG_20231203_064725_Burst16_flipped_ud_.jpg,640,640,Daging_Sapi_Segar,48,134,487,531
resized_IMG_20231203_193156_Burst20_blurred.jpg,640,640,Daging_Sapi_Tidak_Segar,0,0,481,538
resized_IMG_20231203_193156_Burst09_flipped_lr.jpg,640,640,Daging_Sapi_Tidak_Segar,166,19,603,529
resized_IMG_20231203_064725_Burst05_noised.jpg,640,640,Daging_Sapi_Segar,34,111,499,502
resized_IMG_20231203_193156_Burst05_flipped_lr.jpg,640,640,Daging_Sapi_Tidak_Segar,160,14,622,550
resized_IMG_20231203_160259_Burst03_rotated_45.jpg,640,640,Daging_Sapi_Tidak_Segar,63,16,551,597
resized_IMG_20231203_193156_Burst05_noised.jpg,640,640,Daging_Sapi_Tidak_Segar,40,31,485,524
resized_IMG_20231203_193156_Burst15_noised.jpg,640,640,Daging_Sapi_Tidak_Segar,48,33,487,543
resized_IMG_20231203_064439_Burst04_rotated_90.jpg,640,640,Daging_Sapi_Segar,219,166,569,600
resized_IMG_20231203_193156_Burst04_rotated_90.jpg,640,640,Daging_Sapi_Tidak_Segar,26,165,522,613
resized_IMG_20231203_064439_Burst08_rotated_45.jpg,640,640,Daging_Sapi_Segar,74,160,516,575
resized_IMG_20231203_064439_Burst16_rotated_30.jpg,640,640,Daging_Sapi_Segar,66,181,503,584
resized_IMG_20231203_064725_Burst16_noised.jpg,640,640,Daging_Sapi_Segar,11,93,525,530
resized_IMG_20230913_071108_rotated_30.jpg,640,640,Daging_Sapi_Segar,74,199,509,472
resized_IMG_20231203_064439_Burst20_rotated_90.jpg,640,640,Daging_Sapi_Segar,219,152,563,584
resized_IMG_20231203_193156_Burst18_brightened.jpg,640,640,Daging_Sapi_Tidak_Segar,0,18,482,556
resized_IMG_20231203_064725_Burst16_flipped_lr.jpg,640,640,Daging_Sapi_Segar,156,111,590,498
