filename,R_mean,G_mean,B_mean,class
istockphoto-508711754-612x612.jpg,136.8815869140625,95.7700537109375,93.38019775390624,Daging-Sapi
istockphoto-153894177-612x612.jpg,241.33060791015626,196.12115234375,192.5111083984375,Daging-Sapi
istockphoto-953643586-612x612.jpg,144.04189697265625,98.40935546875001,103.18886962890625,Daging-Sapi
Chicken_Drumstics_1__04678-1674511783.jpg,73.2886083984375,57.8426220703125,52.521618652343754,Daging-Ayam
tavuk1_9160_jpg.rf.f5fd1fb9628b8f08aa6275d3dc8c6528.jpg,82.9741259765625,82.887822265625,81.041376953125,Daging-Ayam
tavuk1_8575_jpg.rf.59c4dc8d39976ee981750b88468889c4.jpg,85.83031494140626,86.18708984375,85.09283935546875,Daging-Ayam
image_jpeg.rf.6642c8d25977f4661b8e304181acb859.jpg,217.73189453125,207.99195068359376,204.33855224609374,Daging-Ayam
tavuk2_11845_jpg.rf.b082ac24392356e20ff0e55c0b30d566.jpg,79.49434814453126,79.10912109375,78.43648681640626,Daging-Ayam
ayam_PNG.rf.f94f3e8de21a45ddbb225d0036da7ecf.jpg,242.30373046875002,234.17885986328125,234.60048339843752,Daging-Ayam
IMG_3633_jpg.rf.b1d56cf54f5e1d0c7b39dcad4e1abcc8.jpg,119.65784423828126,154.46345703125002,145.89844482421876,Daging-Ayam
istockphoto-486572809-612x612.jpg,155.20646240234376,131.97704833984375,131.61031494140624,Daging-Sapi
istockphoto-533225417-612x612.jpg,168.403134765625,136.81191650390625,138.96739257812501,Daging-Sapi
image-9-_jpeg.rf.c2468f4a2f10a371c68a334c118f0178.jpg,226.51894042968752,221.36833740234374,218.67179443359376,Daging-Ayam
istockphoto-619670500-612x612.jpg,202.09083984375002,152.88789550781252,158.02776611328125,Daging-Sapi
istockphoto-498737344-612x612.jpg,218.99083251953127,183.77137939453127,185.08638916015624,Daging-Sapi
IMG_3002_jpg.rf.65a569170651a8575e12e332ac4beaed.jpg,169.05510986328125,166.09129150390626,175.47568359375,Daging-Ayam
istockphoto-487387737-612x612.jpg,168.32457275390627,134.65706054687502,131.79133789062502,Daging-Sapi
