filename,R_mean,G_mean,B_mean,class
Patin-87-_jpg.rf.205340d22454ae508a3cfaf660346733.jpg,207.55620512820514,200.86920146520148,198.74829304029305,Ikan-Patin
Patin-147-_jpg.rf.d4ff4738c85684ed536b5f1301e346ab.jpg,164.77099044421487,168.42370222107436,173.88089488636362,Ikan-Patin
Patin-147-_jpg.rf.d4ff4738c85684ed536b5f1301e346ab.jpg,150.29734703798874,151.51633215269578,158.7276083987314,Ikan-Patin
naver_0129_jpg.rf.36a80412f437fbba6ad0b730906e6846.jpg,199.51735959608553,183.3128645337085,179.84190256542684,Tahu
naver_0129_jpg.rf.36a80412f437fbba6ad0b730906e6846.jpg,200.42388165516763,184.377189569608,180.5087020801992,Tahu
naver_0129_jpg.rf.36a80412f437fbba6ad0b730906e6846.jpg,202.5406090222162,187.1996696982037,184.25653137867064,Tahu
naver_0129_jpg.rf.36a80412f437fbba6ad0b730906e6846.jpg,203.65947621605213,189.2395441701889,187.09608154496416,Tahu
naver_0129_jpg.rf.36a80412f437fbba6ad0b730906e6846.jpg,205.1756664438999,191.5531967030519,190.92630875473378,Tahu
istockphoto-537243169-612x612_jpg.rf.b5b63627a3663f04822beedea0a7f7a0.jpg,180.78317380671277,135.32115800865802,142.69108407825942,Daging-Sapi
homemade-tempeh-4_jpg.rf.06ef1fecd394061a8bbce6ef7c5be810.jpg,239.96274441850284,207.78789398803443,162.7401229388589,Tempe
homemade-tempeh-4_jpg.rf.06ef1fecd394061a8bbce6ef7c5be810.jpg,242.04602009749573,205.9264734350527,157.42640304102213,Tempe
Patin-163-_jpg.rf.e0141f82db58d63be11d9ca226c72cdb.jpg,207.9517937219731,204.56573216762914,204.13631964383652,Ikan-Patin
Patin-169-_jpg.rf.096214d78067a16af7a365ffbb181951.jpg,148.93199872653952,148.08697431854705,144.24553530820776,Ikan-Patin
Patin-169-_jpg.rf.096214d78067a16af7a365ffbb181951.jpg,161.25183240204194,157.69476493515452,154.07620636727373,Ikan-Patin
Patin-45-_jpg.rf.4cc665f8df86a4bc9ba640139da5bb76.jpg,184.56167300709598,183.52022320236196,181.37434400017324,Ikan-Patin
images-167-_jpeg.rf.2546aa8b6e58248dea6f8cca271068ed.jpg,163.99698750737753,128.6346399763919,99.61176962423765,Daging-Ayam
images-167-_jpeg.rf.2546aa8b6e58248dea6f8cca271068ed.jpg,163.16949702667299,129.60749765263657,112.83939397452096,Daging-Ayam
images-167-_jpeg.rf.2546aa8b6e58248dea6f8cca271068ed.jpg,176.5691436083636,142.69948040565922,125.76043883811194,Daging-Ayam
images-167-_jpeg.rf.2546aa8b6e58248dea6f8cca271068ed.jpg,177.66926847662143,144.7996794871795,120.71623303167421,Daging-Ayam
