filename,width,height,class,xmin,ymin,xmax,ymax
Patin-87-_jpg.rf.205340d22454ae508a3cfaf660346733.jpg,640,640,Ikan-Patin,52,200,577,460
Patin-147-_jpg.rf.d4ff4738c85684ed536b5f1301e346ab.jpg,640,640,Ikan-Patin,14,110,619,366
Patin-147-_jpg.rf.d4ff4738c85684ed536b5f1301e346ab.jpg,640,640,Ikan-Patin,4,239,565,547
naver_0129_jpg.rf.36a80412f437fbba6ad0b730906e6846.jpg,640,640,Tahu,212,113,640,640
naver_0129_jpg.rf.36a80412f437fbba6ad0b730906e6846.jpg,640,640,Tahu,135,52,579,573
naver_0129_jpg.rf.36a80412f437fbba6ad0b730906e6846.jpg,640,640,Tahu,91,0,508,530
naver_0129_jpg.rf.36a80412f437fbba6ad0b730906e6846.jpg,640,640,Tahu,36,0,410,458
naver_0129_jpg.rf.36a80412f437fbba6ad0b730906e6846.jpg,640,640,Tahu,0,0,335,402
istockphoto-537243169-612x612_jpg.rf.b5b63627a3663f04822beedea0a7f7a0.jpg,640,640,Daging-Sapi,65,27,549,615
homemade-tempeh-4_jpg.rf.06ef1fecd394061a8bbce6ef7c5be810.jpg,640,640,Tempe,16,185,640,361
homemade-tempeh-4_jpg.rf.06ef1fecd394061a8bbce6ef7c5be810.jpg,640,640,Tempe,28,354,640,540
Patin-163-_jpg.rf.e0141f82db58d63be11d9ca226c72cdb.jpg,640,640,Ikan-Patin,46,213,602,436
Patin-169-_jpg.rf.096214d78067a16af7a365ffbb181951.jpg,640,640,Ikan-Patin,2,11,561,247
Patin-169-_jpg.rf.096214d78067a16af7a365ffbb181951.jpg,640,640,Ikan-Patin,29,215,633,599
Patin-45-_jpg.rf.4cc665f8df86a4bc9ba640139da5bb76.jpg,640,640,Ikan-Patin,70,5,507,639
images-167-_jpeg.rf.2546aa8b6e58248dea6f8cca271068ed.jpg,640,640,Daging-Ayam,75,111,259,553
images-167-_jpeg.rf.2546aa8b6e58248dea6f8cca271068ed.jpg,640,640,Daging-Ayam,179,335,486,616
images-167-_jpeg.rf.2546aa8b6e58248dea6f8cca271068ed.jpg,640,640,Daging-Ayam,219,235,545,431
images-167-_jpeg.rf.2546aa8b6e58248dea6f8cca271068ed.jpg,640,640,Daging-Ayam,269,13,477,268
images-193-_jpeg.rf.b706eda0d1fa6d33867eeffc6c3b9b98.jpg,640,640,Daging-Ayam,202,200,354,424
images-193-_jpeg.rf.b706eda0d1fa6d33867eeffc6c3b9b98.jpg,640,640,Daging-Ayam,312,343,494,537
images-193-_jpeg.rf.b706eda0d1fa6d33867eeffc6c3b9b98.jpg,640,640,Daging-Ayam,148,373,335,591
images-193-_jpeg.rf.b706eda0d1fa6d33867eeffc6c3b9b98.jpg,640,640,Daging-Ayam,288,136,478,373
t23_jpg.rf.f5001acf4e61246e2f98bab31cda41dc.jpg,640,640,Ikan-Nila,130,211,638,543
t23_jpg.rf.f5001acf4e61246e2f98bab31cda41dc.jpg,640,640,Ikan-Nila,92,147,555,519
t23_jpg.rf.f5001acf4e61246e2f98bab31cda41dc.jpg,640,640,Ikan-Nila,7,63,447,447
images36_jpg.rf.b07d9c7bd2201838fd17623a6cb95d44.jpg,640,640,Daging-Ayam,143,76,348,524
images36_jpg.rf.b07d9c7bd2201838fd17623a6cb95d44.jpg,640,640,Daging-Ayam,115,214,423,502
Ikan_Kembung_11_jpg.rf.bbfec1cccb1e95c260ef179fafa02f8e.jpg,640,640,Ikan-Kembung,113,187,625,364
images21_jpg.rf.18dc39cd8bf0b09ad452a08aca52578d.jpg,640,640,Daging-Ayam,69,45,195,602
images21_jpg.rf.18dc39cd8bf0b09ad452a08aca52578d.jpg,640,640,Daging-Ayam,177,83,309,633
images21_jpg.rf.18dc39cd8bf0b09ad452a08aca52578d.jpg,640,640,Daging-Ayam,265,41,389,629
images21_jpg.rf.18dc39cd8bf0b09ad452a08aca52578d.jpg,640,640,Daging-Ayam,364,55,475,614
images21_jpg.rf.18dc39cd8bf0b09ad452a08aca52578d.jpg,640,640,Daging-Ayam,427,14,553,582
image32_jpeg.rf.65ccd5169d9eb560236ca817929b5f98.jpg,640,640,Daging-Ayam,187,72,462,580
image32_jpeg.rf.65ccd5169d9eb560236ca817929b5f98.jpg,640,640,Daging-Ayam,0,79,326,477
image32_jpeg.rf.65ccd5169d9eb560236ca817929b5f98.jpg,640,640,Daging-Ayam,399,2,639,225
image32_jpeg.rf.65ccd5169d9eb560236ca817929b5f98.jpg,640,640,Daging-Ayam,0,0,226,164
image32_jpeg.rf.65ccd5169d9eb560236ca817929b5f98.jpg,640,640,Daging-Ayam,449,190,640,640
Ikan_Lele_4_PNG.rf.489dd0cb09cce1fac5735055f9bc6c55.jpg,640,640,Ikan-Lele,15,23,544,543
Ikan_Lele_4_PNG.rf.489dd0cb09cce1fac5735055f9bc6c55.jpg,640,640,Ikan-Lele,180,263,640,640
Ikan_Lele_4_PNG.rf.489dd0cb09cce1fac5735055f9bc6c55.jpg,640,640,Ikan-Lele,365,0,640,230
Ikan_Lele_4_PNG.rf.489dd0cb09cce1fac5735055f9bc6c55.jpg,640,640,Ikan-Lele,456,67,547,471
Ikan_Lele_4_PNG.rf.489dd0cb09cce1fac5735055f9bc6c55.jpg,640,640,Ikan-Lele,3,348,324,640
f5482e3f-d50e-4e92-b0b8-007fe2584168_jpg.rf.af3b8934a2bf142bc5abdc82b42e0423.jpg,640,640,Tempe,223,153,497,286
f5482e3f-d50e-4e92-b0b8-007fe2584168_jpg.rf.af3b8934a2bf142bc5abdc82b42e0423.jpg,640,640,Tempe,0,369,217,510
f5482e3f-d50e-4e92-b0b8-007fe2584168_jpg.rf.af3b8934a2bf142bc5abdc82b42e0423.jpg,640,640,Tempe,318,372,586,482
f5482e3f-d50e-4e92-b0b8-007fe2584168_jpg.rf.af3b8934a2bf142bc5abdc82b42e0423.jpg,640,640,Tempe,394,539,640,630
f5482e3f-d50e-4e92-b0b8-007fe2584168_jpg.rf.af3b8934a2bf142bc5abdc82b42e0423.jpg,640,640,Tempe,0,550,218,640
WIN_20230221_17_46_09_Pro_jpg.rf.63c7b5b0434a6ad50656cdac568101f1.jpg,640,640,Udang,23,50,207,254
WIN_20230221_17_46_09_Pro_jpg.rf.63c7b5b0434a6ad50656cdac568101f1.jpg,640,640,Udang,178,18,332,248
WIN_20230221_17_46_09_Pro_jpg.rf.63c7b5b0434a6ad50656cdac568101f1.jpg,640,640,Udang,115,152,283,377
WIN_20230221_17_46_09_Pro_jpg.rf.63c7b5b0434a6ad50656cdac568101f1.jpg,640,640,Udang,344,127,450,418
WIN_20230221_17_46_09_Pro_jpg.rf.63c7b5b0434a6ad50656cdac568101f1.jpg,640,640,Udang,378,10,534,189
WIN_20230221_17_46_09_Pro_jpg.rf.63c7b5b0434a6ad50656cdac568101f1.jpg,640,640,Udang,41,355,363,509
WIN_20230221_17_46_09_Pro_jpg.rf.63c7b5b0434a6ad50656cdac568101f1.jpg,640,640,Udang,382,245,598,513
WIN_20230221_17_46_09_Pro_jpg.rf.63c7b5b0434a6ad50656cdac568101f1.jpg,640,640,Udang,413,383,615,603
naver_0188_jpg.rf.7479eebb3a52b2537a34a3ab97526bce.jpg,640,640,Tahu,141,183,319,361
naver_0188_jpg.rf.7479eebb3a52b2537a34a3ab97526bce.jpg,640,640,Tahu,315,189,473,356
naver_0188_jpg.rf.7479eebb3a52b2537a34a3ab97526bce.jpg,640,640,Tahu,167,86,311,202
naver_0188_jpg.rf.7479eebb3a52b2537a34a3ab97526bce.jpg,640,640,Tahu,318,115,468,215
naver_0188_jpg.rf.7479eebb3a52b2537a34a3ab97526bce.jpg,640,640,Tahu,312,65,442,136
naver_0188_jpg.rf.7479eebb3a52b2537a34a3ab97526bce.jpg,640,640,Tahu,188,53,322,111
naver_0188_jpg.rf.7479eebb3a52b2537a34a3ab97526bce.jpg,640,640,Tahu,341,349,479,529
naver_0188_jpg.rf.7479eebb3a52b2537a34a3ab97526bce.jpg,640,640,Tahu,343,311,501,439
naver_0188_jpg.rf.7479eebb3a52b2537a34a3ab97526bce.jpg,640,640,Tahu,453,266,501,359
